js-analytics-click href,photo-box-img src,user-display-name,user-location,friend-count,friend-count 2,review-count,review-count 2,photo-count,icon_svg href 3,photo-count 2,arrange href,icon_svg href 4,action-link_label,arrange href 2,action-link_label 2,arrange href 3,action-link_label 3,arrange href 4,action-link_label 4,arrange href 5,action-link_label 5,arrange href 6,action-link_label 6,offscreen src,rating-qualifier,review-tags_item,icon_svg href 10,review-content,photo-box-img src 2,biz-shim href,voting-intro,js-review-feedback-voter-list,js-review-feedback-voter-list href,vote-type,count,vote-type 2,vote-type 3,u-space-b3,u-space-b3 src,u-space-b2,ybtn,js-maybe-later-button,chiclet-link href,tooltip,count 2,photo-box-overlay_caption
https://www.yelp.com/user_details?userid=8q6vJuhgs4e8jf5FkSMybA,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,Jin L.,"Manhattan, New York, NY",friends,0,review,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.yelp.com/user_details?userid=AnNMycDCk1j1h-nV65a5dg,https://s3-media2.fl.yelpcdn.com/photo/0hjRvIPhfCEuZ4yG1AK0bQ/60s.jpg,Andrew B.,"Chicago, IL",friends,132,reviews,19,photos,[object Object],5,https://www.yelp.com/biz_share/t_BZAP2OCpLdapTL9Yp5uA/review/WWf8mY6qBsPc0soo3Zbg8Q,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=WWf8mY6qBsPc0soo3Zbg8Q&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkusanya-cafe-chicago%3Fosq%3DKusanya%2BCafe&user_id=AnNMycDCk1j1h-nV65a5dg,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=AnNMycDCk1j1h-nV65a5dg&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkusanya-cafe-chicago%3Fosq%3DKusanya%2BCafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=AnNMycDCk1j1h-nV65a5dg&previous_url=https://www.yelp.com/biz/kusanya-cafe-chicago?osq=Kusanya+Cafe,Follow Andrew B.,https://www.yelp.com/following_user/remove?dst_user_id=AnNMycDCk1j1h-nV65a5dg&previous_url=https://www.yelp.com/biz/kusanya-cafe-chicago?osq=Kusanya+Cafe,Stop following Andrew B.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,9/12/2018,1 check-in,[object Object],"This place deserves all the hype it gets. i've been coming here almost daily since starting work down the street. I always order coffee black and the quality is stupendous. I've started getting the lunch recently and the Big Payback is delicious, not too much and reasonably priced. The staff is always friendly and parking is easy. Ill keep on coming back so long as they keep on being awesome!",https://s3-media1.fl.yelpcdn.com/bphoto/F9sAlAXg_kFykvQGfKarbg/348s.jpg,https://www.yelp.com/biz_photos/kusanya-cafe-chicago?reviewid=WWf8mY6qBsPc0soo3Zbg8Q&select=F9sAlAXg_kFykvQGfKarbg,voted for this review,Regena K.,javascript:;,Useful,1,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=t_BZAP2OCpLdapTL9Yp5uA&flag_id=WWf8mY6qBsPc0soo3Zbg8Q&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkusanya-cafe-chicago%3Fosq%3DKusanya%2BCafe,Report review,,
https://www.yelp.com/user_details?userid=KRZ7uId-uchFLbaQDsHDNw,https://s3-media2.fl.yelpcdn.com/photo/GyPYcC4U1pVqIisd_h7tdQ/60s.jpg,Eliot C.,"Chicago, IL",friends,0,reviews,6,photo,[object Object],1,https://www.yelp.com/biz_share/t_BZAP2OCpLdapTL9Yp5uA/review/uQfJW6BI3GTZCCxty-0Y8Q,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=uQfJW6BI3GTZCCxty-0Y8Q&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkusanya-cafe-chicago%3Fosq%3DKusanya%2BCafe&user_id=KRZ7uId-uchFLbaQDsHDNw,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=KRZ7uId-uchFLbaQDsHDNw&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkusanya-cafe-chicago%3Fosq%3DKusanya%2BCafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=KRZ7uId-uchFLbaQDsHDNw&previous_url=https://www.yelp.com/biz/kusanya-cafe-chicago?osq=Kusanya+Cafe,Follow Eliot C.,https://www.yelp.com/following_user/remove?dst_user_id=KRZ7uId-uchFLbaQDsHDNw&previous_url=https://www.yelp.com/biz/kusanya-cafe-chicago?osq=Kusanya+Cafe,Stop following Eliot C.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,10/8/2018,,,"Really dug the decor and the coffee was excellent. The food looked good, though I didn't have anything. And the staff was quite friendly. I don't live close, but if I did, it's the kind of place that I would frequent. However, if I did frequent Kusanya, it would be, without exception, with newspaper, magazine, or book in hand. Here's the negative:Normally in 2018, non-working wifi (unless it is a one-time, unforeseeable disruption, as can happen to any business) knocks a review down to one star. But these guys are a non-profit and doing good work, so there's no need to ding them. Not for nothing, but they also have no reviews less than three stars, which is definitely something. Still, after a twenty-mile or so, meandering bike ride through some nasty, nasty construction zones and streets (screw you, Hyde Park!!!) with Kusanya as the ultimate goal, I can't say it didn't leave a bad taste when, after changing out of my sweat-soaked jersey, ordering a drink, settling in, and opening my laptop, I was treated to internet that wouldn't connect. Hopefully they fix that with their provider.",,,Was this review …?,,,Useful,,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=t_BZAP2OCpLdapTL9Yp5uA&flag_id=uQfJW6BI3GTZCCxty-0Y8Q&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkusanya-cafe-chicago%3Fosq%3DKusanya%2BCafe,Report review,,
https://www.yelp.com/user_details?userid=f6FqZ-IfLBzs8IIKU8kVAw,https://s3-media1.fl.yelpcdn.com/photo/i2VPKNxCnDhhLUVnlJYCbw/60s.jpg,Toni T.,"University Park, IL",friends,0,reviews,35,photo,[object Object],1,https://www.yelp.com/biz_share/t_BZAP2OCpLdapTL9Yp5uA/review/uJfPApeWKmG64998oo6JeQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=uJfPApeWKmG64998oo6JeQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkusanya-cafe-chicago%3Fosq%3DKusanya%2BCafe&user_id=f6FqZ-IfLBzs8IIKU8kVAw,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=f6FqZ-IfLBzs8IIKU8kVAw&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkusanya-cafe-chicago%3Fosq%3DKusanya%2BCafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=f6FqZ-IfLBzs8IIKU8kVAw&previous_url=https://www.yelp.com/biz/kusanya-cafe-chicago?osq=Kusanya+Cafe,Follow Toni T.,https://www.yelp.com/following_user/remove?dst_user_id=f6FqZ-IfLBzs8IIKU8kVAw&previous_url=https://www.yelp.com/biz/kusanya-cafe-chicago?osq=Kusanya+Cafe,Stop following Toni T.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,10/25/2018,,,First I'd like to say thank you to Kusanya for bringing such a super cool cafe to Englewood. Cafes like this are NEEDED within the community. With that said this was my second time visiting the cafe I hav family nearby and it's great to have the option to get good food and coffee nearby. Today I tried the oatmeal and it was really delicious not your traditional oatmeal it was baked oatmeal very yummy. I'll def be back and I'll get the oatmeal again. Prices are good customer service is excellent and the food taste good also.,,,1 person voted for this review,,,Useful,1,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=t_BZAP2OCpLdapTL9Yp5uA&flag_id=uJfPApeWKmG64998oo6JeQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkusanya-cafe-chicago%3Fosq%3DKusanya%2BCafe,Report review,,
https://www.yelp.com/user_details?userid=q-vEAm84Yeemd1eACNlT7A,https://s3-media4.fl.yelpcdn.com/photo/wC07TlE6dc2J1kQHg5E8Jg/60s.jpg,S A.,"Oakland, CA",friends,25,reviews,38,photos,[object Object],37,https://www.yelp.com/biz_share/t_BZAP2OCpLdapTL9Yp5uA/review/NAsonvx3OGVdERMu1tbOow,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=NAsonvx3OGVdERMu1tbOow&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkusanya-cafe-chicago%3Fosq%3DKusanya%2BCafe&user_id=q-vEAm84Yeemd1eACNlT7A,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=q-vEAm84Yeemd1eACNlT7A&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkusanya-cafe-chicago%3Fosq%3DKusanya%2BCafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=q-vEAm84Yeemd1eACNlT7A&previous_url=https://www.yelp.com/biz/kusanya-cafe-chicago?osq=Kusanya+Cafe,Follow S A.,https://www.yelp.com/following_user/remove?dst_user_id=q-vEAm84Yeemd1eACNlT7A&previous_url=https://www.yelp.com/biz/kusanya-cafe-chicago?osq=Kusanya+Cafe,Stop following S A.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,3/26/2018,,,"I loved walking into this coffee shop. It's in a good location, easy parking, free Wi-Fi, and great food selection. The cafe space is very open and comfortable and the bar is nicely designed out of reclaimed wood and doors( I think).The staff is great, polite, funny, engaging and offering great service. The food coffee and music are all top notch and if your even think you want the baked oatmeal, do it, don't skimp on the warm cream.Even though I was visiting from out of town, i felt welcome and like I was among friends. I can see why it's called ""Kusanya"" - bring together in Swahili.",https://s3-media1.fl.yelpcdn.com/bphoto/Mo3POKvDJeRV5pg1QygvMg/348s.jpg,https://www.yelp.com/biz_photos/kusanya-cafe-chicago?reviewid=NAsonvx3OGVdERMu1tbOow&select=Mo3POKvDJeRV5pg1QygvMg,1 person voted for this review,,,Useful,,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=t_BZAP2OCpLdapTL9Yp5uA&flag_id=NAsonvx3OGVdERMu1tbOow&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkusanya-cafe-chicago%3Fosq%3DKusanya%2BCafe,Report review,1,
https://www.yelp.com/user_details?userid=nUMSYO5WWakcOmPcgcOlGg,https://s3-media3.fl.yelpcdn.com/photo/XmCq49dmPdk9vlC3EwPqzg/60s.jpg,Nina P.,"South Side, Chicago, IL",friends,17,reviews,55,photo,[object Object],1,https://www.yelp.com/biz_share/t_BZAP2OCpLdapTL9Yp5uA/review/vWcNJ4jDxSUc6hxhhgJlog,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=vWcNJ4jDxSUc6hxhhgJlog&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkusanya-cafe-chicago%3Fosq%3DKusanya%2BCafe&user_id=nUMSYO5WWakcOmPcgcOlGg,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=nUMSYO5WWakcOmPcgcOlGg&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkusanya-cafe-chicago%3Fosq%3DKusanya%2BCafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=nUMSYO5WWakcOmPcgcOlGg&previous_url=https://www.yelp.com/biz/kusanya-cafe-chicago?osq=Kusanya+Cafe,Follow Nina P.,https://www.yelp.com/following_user/remove?dst_user_id=nUMSYO5WWakcOmPcgcOlGg&previous_url=https://www.yelp.com/biz/kusanya-cafe-chicago?osq=Kusanya+Cafe,Stop following Nina P.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,11/13/2017,,,"I am pleased with my visit here, very kind staff and great taste coffee options.  Order a coffee to go and check out the sleeve: Brewed In Englewood. Way better than that watered down crud Starbucks sells. The atmosphere is usually very upbeat and trendy. A lot of vegan sandwich options, which is a bit problem for me!",https://s3-media4.fl.yelpcdn.com/bphoto/Wjf2VZYRNzVlUo1cKD3Gwg/348s.jpg,https://www.yelp.com/biz_photos/kusanya-cafe-chicago?reviewid=vWcNJ4jDxSUc6hxhhgJlog&select=Wjf2VZYRNzVlUo1cKD3Gwg,voted for this review,Char B. and 2 others,javascript:;,Useful,3,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=t_BZAP2OCpLdapTL9Yp5uA&flag_id=vWcNJ4jDxSUc6hxhhgJlog&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkusanya-cafe-chicago%3Fosq%3DKusanya%2BCafe,Report review,1,
https://www.yelp.com/user_details?userid=-H3gbR11C6wu_6CYbkR47g,https://s3-media1.fl.yelpcdn.com/photo/DMFgHaRQ8mNFhlBTj6Q3mA/60s.jpg,Jeanell B.,"Chicago, IL",friends,15,reviews,5,photos,[object Object],7,https://www.yelp.com/biz_share/t_BZAP2OCpLdapTL9Yp5uA/review/MxMMP44ObtMC28OKJKFjng,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=MxMMP44ObtMC28OKJKFjng&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkusanya-cafe-chicago%3Fosq%3DKusanya%2BCafe&user_id=-H3gbR11C6wu_6CYbkR47g,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=-H3gbR11C6wu_6CYbkR47g&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkusanya-cafe-chicago%3Fosq%3DKusanya%2BCafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=-H3gbR11C6wu_6CYbkR47g&previous_url=https://www.yelp.com/biz/kusanya-cafe-chicago?osq=Kusanya+Cafe,Follow Jeanell B.,https://www.yelp.com/following_user/remove?dst_user_id=-H3gbR11C6wu_6CYbkR47g&previous_url=https://www.yelp.com/biz/kusanya-cafe-chicago?osq=Kusanya+Cafe,Stop following Jeanell B.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,7/6/2018,1 check-in,[object Object],Great place! Saw this on a PBS special one night at work so me and my daughter checked it out. I had The Big Payback and my daughter had The Bernie Mac N Cheese. Excellent! She said it was the best thing she ever had which is a big deal for her. This place is a gem and I hope to see more pop up! Will be coming back.,https://s3-media1.fl.yelpcdn.com/bphoto/QyoS1mHnztz53lTBpAnzXg/168s.jpg,https://www.yelp.com/biz_photos/kusanya-cafe-chicago?reviewid=MxMMP44ObtMC28OKJKFjng&select=QyoS1mHnztz53lTBpAnzXg,Was this review …?,,,Useful,,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=t_BZAP2OCpLdapTL9Yp5uA&flag_id=MxMMP44ObtMC28OKJKFjng&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkusanya-cafe-chicago%3Fosq%3DKusanya%2BCafe,Report review,,Bernie Mac N Cheese
https://www.yelp.com/user_details?userid=gQVIwGyDPLLQ-bq6zCaftg,https://s3-media3.fl.yelpcdn.com/photo/-hwwNmDlEJH64RzjcLh4Fg/60s.jpg,Char B.,"Chicago, IL",friends,73,reviews,27,photos,[object Object],76,https://www.yelp.com/biz_share/t_BZAP2OCpLdapTL9Yp5uA/review/8Jq546Z280ZwG2SGYGKhvA,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=8Jq546Z280ZwG2SGYGKhvA&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkusanya-cafe-chicago%3Fosq%3DKusanya%2BCafe&user_id=gQVIwGyDPLLQ-bq6zCaftg,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=gQVIwGyDPLLQ-bq6zCaftg&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkusanya-cafe-chicago%3Fosq%3DKusanya%2BCafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=gQVIwGyDPLLQ-bq6zCaftg&previous_url=https://www.yelp.com/biz/kusanya-cafe-chicago?osq=Kusanya+Cafe,Follow Char B.,https://www.yelp.com/following_user/remove?dst_user_id=gQVIwGyDPLLQ-bq6zCaftg&previous_url=https://www.yelp.com/biz/kusanya-cafe-chicago?osq=Kusanya+Cafe,Stop following Char B.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,10/2/2017,2 check-ins,[object Object],"I FINALLY made out into this awesome space. Tried before but my timing was off. They weren't open...Well, today was a stumbled-upon kind of day.... So very happy I came! First visit... VERY AWESOME COFFEE! I mean DEEElicious !! They said they roast their own beans in house!Um... Guess I never Submitted first review... So... 2 weeks later I was wanting that delicious roasty flavor... Got it for free! They have a Pay-It-Forward program! Sometimes your drink is in the last person! It's  LOVE! So, I bought a brownie.... Just to taste & give away (diet), but bit they are really special brownies... Wish wish wish I could inhale the Whole gooey thing. DON'T MUST OUT ON KUSANYA quiet spacious clean friendly chill deco good",https://s3-media2.fl.yelpcdn.com/bphoto/D_IRSyvUG7-qQw5E03H2zA/348s.jpg,https://www.yelp.com/biz_photos/kusanya-cafe-chicago?reviewid=8Jq546Z280ZwG2SGYGKhvA&select=D_IRSyvUG7-qQw5E03H2zA,voted for this review,David C.,javascript:;,Useful,1,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=t_BZAP2OCpLdapTL9Yp5uA&flag_id=8Jq546Z280ZwG2SGYGKhvA&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkusanya-cafe-chicago%3Fosq%3DKusanya%2BCafe,Report review,1,Great Menu. Clean bar. Rustic decor.
https://www.yelp.com/user_details?userid=lSItLiP7XXl6uAy6R6XDSA,https://s3-media4.fl.yelpcdn.com/photo/H1zgbxqnKMJAq4u4TE6FDA/60s.jpg,Kate J.,"Chicago, IL",friends,435,reviews,342,photos,[object Object],102,https://www.yelp.com/biz_share/t_BZAP2OCpLdapTL9Yp5uA/review/cfkhFDTviowN0jgvplIUVQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=cfkhFDTviowN0jgvplIUVQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkusanya-cafe-chicago%3Fosq%3DKusanya%2BCafe&user_id=lSItLiP7XXl6uAy6R6XDSA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=lSItLiP7XXl6uAy6R6XDSA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkusanya-cafe-chicago%3Fosq%3DKusanya%2BCafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=lSItLiP7XXl6uAy6R6XDSA&previous_url=https://www.yelp.com/biz/kusanya-cafe-chicago?osq=Kusanya+Cafe,Follow Kate J.,https://www.yelp.com/following_user/remove?dst_user_id=lSItLiP7XXl6uAy6R6XDSA&previous_url=https://www.yelp.com/biz/kusanya-cafe-chicago?osq=Kusanya+Cafe,Stop following Kate J.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,3/17/2018,,,"This place is lovely!  I came in with some coworkers and really enjoyed my iced caramel latte.  The prices are fair, the ambiance is comfy and inviting, and the staff is friendly.  I will certainly be back.",,,voted for this review,Char B. and 2 others,javascript:;,Useful,1,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=t_BZAP2OCpLdapTL9Yp5uA&flag_id=cfkhFDTviowN0jgvplIUVQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkusanya-cafe-chicago%3Fosq%3DKusanya%2BCafe,Report review,2,
https://www.yelp.com/user_details?userid=oHPyWpH2CJ10cP6K6udvdg,https://s3-media3.fl.yelpcdn.com/photo/DaZ2mDw6VF8P9to6znpzuA/60s.jpg,Tiffany D.,"Matteson, IL",friends,161,reviews,9,photos,[object Object],3,https://www.yelp.com/biz_share/t_BZAP2OCpLdapTL9Yp5uA/review/_oTN1dOzXmIu7seisvlMGg,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=_oTN1dOzXmIu7seisvlMGg&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkusanya-cafe-chicago%3Fosq%3DKusanya%2BCafe&user_id=oHPyWpH2CJ10cP6K6udvdg,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=oHPyWpH2CJ10cP6K6udvdg&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkusanya-cafe-chicago%3Fosq%3DKusanya%2BCafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=oHPyWpH2CJ10cP6K6udvdg&previous_url=https://www.yelp.com/biz/kusanya-cafe-chicago?osq=Kusanya+Cafe,Follow Tiffany D.,https://www.yelp.com/following_user/remove?dst_user_id=oHPyWpH2CJ10cP6K6udvdg&previous_url=https://www.yelp.com/biz/kusanya-cafe-chicago?osq=Kusanya+Cafe,Stop following Tiffany D.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,5/10/2018,1 check-in,[object Object],The latte was almost as good as the service! The ladies were very friendly and helpful. The caramel latte I got was very flavorful and was perfectly crafted. I will be stopping here regularly. So refreshing to have a coffee shop in the area!,,,voted for this review,Char B.,javascript:;,Useful,,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=t_BZAP2OCpLdapTL9Yp5uA&flag_id=_oTN1dOzXmIu7seisvlMGg&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkusanya-cafe-chicago%3Fosq%3DKusanya%2BCafe,Report review,1,
https://www.yelp.com/user_details?userid=ISJ860z59OPGcuBbo-kjXg,https://s3-media3.fl.yelpcdn.com/photo/RlrKTZDvSfsHm6u2rC8UOw/60s.jpg,Sarah P.,"Milwaukee, WI",friends,546,reviews,537,photos,[object Object],299,https://www.yelp.com/biz_share/t_BZAP2OCpLdapTL9Yp5uA/review/byKKvDoxCHO6yJFJIRYhAg,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=byKKvDoxCHO6yJFJIRYhAg&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkusanya-cafe-chicago%3Fosq%3DKusanya%2BCafe&user_id=ISJ860z59OPGcuBbo-kjXg,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=ISJ860z59OPGcuBbo-kjXg&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkusanya-cafe-chicago%3Fosq%3DKusanya%2BCafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=ISJ860z59OPGcuBbo-kjXg&previous_url=https://www.yelp.com/biz/kusanya-cafe-chicago?osq=Kusanya+Cafe,Follow Sarah P.,https://www.yelp.com/following_user/remove?dst_user_id=ISJ860z59OPGcuBbo-kjXg&previous_url=https://www.yelp.com/biz/kusanya-cafe-chicago?osq=Kusanya+Cafe,Stop following Sarah P.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,7/17/2017,1 check-in,[object Object],"This is the spot for me whenever I'm in the neighborhood. I had the baked oatmeal with fresh berries and almond milk and it was perfect, along with a latte. Prices are so so extremely reasonable, and the bakery case has yummy items ranging from 90 cents to three bucks. I love the aesthetic here. They have beautiful art pieces and a rustic, hip feel to the general decor. The coffee is roasted and packaged on-site and also sold at the Englewood Whole Foods. Everything is top notch quality with choices of $1 mugs of coffee if you order it to stay. I love the nods to Englewood throughout the cafe, from the outline of the neighborhood sketched on tables, to the coffee sleeves and paper bags. Kusanya also hosts neighborhood events, a fresh foods night market on certain evenings, yoga on weekends, and open mic storytelling. Kusanya is also a non-profit that started on Kickstarter and that stays afloat through community support and grants. If you want to donate check them out online or stop by and ask about it. I look forward to trying their sandwiches! So so good!",,,voted for this review,Char B. and 26 others,javascript:;,Useful,20,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=t_BZAP2OCpLdapTL9Yp5uA&flag_id=byKKvDoxCHO6yJFJIRYhAg&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkusanya-cafe-chicago%3Fosq%3DKusanya%2BCafe,Report review,18,
