js-analytics-click href,photo-box-img src,user-display-name,user-location,friend-count,friend-count 2,review-count,review-count 2,photo-count,icon_svg href 3,photo-count 2,arrange href,icon_svg href 4,action-link_label,arrange href 2,action-link_label 2,arrange href 3,action-link_label 3,arrange href 4,action-link_label 4,arrange href 5,action-link_label 5,arrange href 6,action-link_label 6,offscreen src,rating-qualifier,review-content,voting-intro,vote-type,vote-type 2,vote-type 3,u-space-b3,u-space-b3 src,u-space-b2,ybtn,js-maybe-later-button,chiclet-link href,tooltip,review-tags_item,icon_svg href 14,js-review-feedback-voter-list,js-review-feedback-voter-list href,count,count 3
https://www.yelp.com/user_details?userid=8q6vJuhgs4e8jf5FkSMybA,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,Jin L.,"Manhattan, New York, NY",friends,0,review,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.yelp.com/user_details?userid=KRZ7uId-uchFLbaQDsHDNw,https://s3-media2.fl.yelpcdn.com/photo/GyPYcC4U1pVqIisd_h7tdQ/60s.jpg,Eliot C.,"Chicago, IL",friends,0,reviews,6,photo,[object Object],1,https://www.yelp.com/biz_share/-Tp77Ce5OCpP1-KXUYtX9A/review/Xh5imZWjc6NPyom4p8VffQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=Xh5imZWjc6NPyom4p8VffQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3DRobust%2Bcaf%25C3%25A9&user_id=KRZ7uId-uchFLbaQDsHDNw,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=KRZ7uId-uchFLbaQDsHDNw&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3DRobust%2Bcaf%25C3%25A9,Send message,https://www.yelp.com/following_user/add?dst_user_id=KRZ7uId-uchFLbaQDsHDNw&previous_url=https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=Robust+caf%C3%A9,Follow Eliot C.,https://www.yelp.com/following_user/remove?dst_user_id=KRZ7uId-uchFLbaQDsHDNw&previous_url=https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=Robust+caf%C3%A9,Stop following Eliot C.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,10/9/2018,"First and foremost, this place is huge! That alone made me a fan within seconds. It does a brisk business and yet there's always seating to be had. The staff is very nice and accommodating, the space is well-maintained, and the coffee and sandwiches are good, and very fairly priced. The only complaint I had, and it's minor, is the donut. Not that good. Frosting, yes. But the rest of it was a little tasteless. But that's small stuff. Robust is well worth a visit. At least three times a week, I bike down from the North Side to somewhere on the South Side or Western Suburbs for exercise and exploration, then work remotely, so I'll be coming in all fall and winter. This place is a keeper. Pro-tip: It will get a little loud during the bottom of the 3:00 hour when a lot of kids roll in rom one of the local schools. They're fine overall, but they are teenagers, so they're going to be a little loud. But the vast majority of them take their food to go, so it's a mild annoyance at worst.",Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=-Tp77Ce5OCpP1-KXUYtX9A&flag_id=Xh5imZWjc6NPyom4p8VffQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3DRobust%2Bcaf%25C3%25A9,Report review,,,,,,
https://www.yelp.com/user_details?userid=aAoWA14TW5TbexwIZ7UBMA,https://s3-media1.fl.yelpcdn.com/photo/4eR6J_VGGYtt5Q_HKyrTZw/60s.jpg,Amanda S.,"Chicago, IL",friends,5,reviews,103,photos,[object Object],16,https://www.yelp.com/biz_share/-Tp77Ce5OCpP1-KXUYtX9A/review/MzrbvQymc09g3Zb1pGaOiw,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=MzrbvQymc09g3Zb1pGaOiw&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3DRobust%2Bcaf%25C3%25A9&user_id=aAoWA14TW5TbexwIZ7UBMA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=aAoWA14TW5TbexwIZ7UBMA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3DRobust%2Bcaf%25C3%25A9,Send message,https://www.yelp.com/following_user/add?dst_user_id=aAoWA14TW5TbexwIZ7UBMA&previous_url=https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=Robust+caf%C3%A9,Follow Amanda S.,https://www.yelp.com/following_user/remove?dst_user_id=aAoWA14TW5TbexwIZ7UBMA&previous_url=https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=Robust+caf%C3%A9,Stop following Amanda S.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,8/25/2018,I love this coffee shop because it's a nice place where I am able to get my work done when I want to get out the house. My only disappointment is that they are frequently out of chai tea when I visit in the afternoons. They also have a pretty good selection of sandwiches and small salads.I see based on other reviews I have to try the honey nut latte. I'll try on my next visit.,Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=-Tp77Ce5OCpP1-KXUYtX9A&flag_id=MzrbvQymc09g3Zb1pGaOiw&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3DRobust%2Bcaf%25C3%25A9,Report review,1 check-in,[object Object],,,,
https://www.yelp.com/user_details?userid=QNGMAfrCUBAEv7OXcJ-0-w,https://s3-media4.fl.yelpcdn.com/photo/2UD7di2yv6oQmHk8tWw2GQ/60s.jpg,Njeri P.,"Chicago, IL",friends,203,reviews,37,photos,[object Object],84,https://www.yelp.com/biz_share/-Tp77Ce5OCpP1-KXUYtX9A/review/KuyGFt2Msm69IRztPU5J9g,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=KuyGFt2Msm69IRztPU5J9g&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3DRobust%2Bcaf%25C3%25A9&user_id=QNGMAfrCUBAEv7OXcJ-0-w,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=QNGMAfrCUBAEv7OXcJ-0-w&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3DRobust%2Bcaf%25C3%25A9,Send message,https://www.yelp.com/following_user/add?dst_user_id=QNGMAfrCUBAEv7OXcJ-0-w&previous_url=https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=Robust+caf%C3%A9,Follow Njeri P.,https://www.yelp.com/following_user/remove?dst_user_id=QNGMAfrCUBAEv7OXcJ-0-w&previous_url=https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=Robust+caf%C3%A9,Stop following Njeri P.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,8/13/2018,"Robust is such a great space to work or meet up with friends.Food: I like to get the bacon, egg, and cheese on an English muffin. The first time I ordered it, I ate it so fast I forgot to take a picture. Lol. When I went back the second time, I remembered. They also have donuts and a variety of food (sandwiches, salads) you can order. Drinks: I enjoy their berry smoothie. The first time I went, I ordered the Honey Nut Latte. It was decent, but I prefer to go to Robust for the food and the space. Space: Robust is huge. There is a ton of space in the front and the back. You never feel too closed in next to someone  else. The cafe has nice big windows which lets in a lot of natural light. Service: the service is always good. The baristas and cashiers are always kind, and provide good service. I definitely recommend going to Robust. If I lived closer I would definitely be a regular.",Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=-Tp77Ce5OCpP1-KXUYtX9A&flag_id=KuyGFt2Msm69IRztPU5J9g&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3DRobust%2Bcaf%25C3%25A9,Report review,4 check-ins,[object Object],,,,
https://www.yelp.com/user_details?userid=O37wZETQhNbgUSrITqQjiA,https://s3-media4.fl.yelpcdn.com/photo/v3UliLRRREdjFzEgggdK6g/60s.jpg,Stephen M.,"Chicago, IL",friends,0,reviews,33,photos,[object Object],3,https://www.yelp.com/biz_share/-Tp77Ce5OCpP1-KXUYtX9A/review/ooYmPOpZ8UWUvoCseYAj1A,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=ooYmPOpZ8UWUvoCseYAj1A&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3DRobust%2Bcaf%25C3%25A9&user_id=O37wZETQhNbgUSrITqQjiA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=O37wZETQhNbgUSrITqQjiA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3DRobust%2Bcaf%25C3%25A9,Send message,https://www.yelp.com/following_user/add?dst_user_id=O37wZETQhNbgUSrITqQjiA&previous_url=https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=Robust+caf%C3%A9,Follow Stephen M.,https://www.yelp.com/following_user/remove?dst_user_id=O37wZETQhNbgUSrITqQjiA&previous_url=https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=Robust+caf%C3%A9,Stop following Stephen M.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,10/25/2018,So happy this gem is in my neighborhood. I've been coming here for about 3 years. I can enjoy Robust even when I'm working from home because they deliver! We love the breakfast sandwich and brisket grilled cheese.,voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=-Tp77Ce5OCpP1-KXUYtX9A&flag_id=ooYmPOpZ8UWUvoCseYAj1A&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3DRobust%2Bcaf%25C3%25A9,Report review,,,Anna K.,javascript:;,1,
https://www.yelp.com/user_details?userid=f0SHitrEqc5k0DwWyPlY9w,https://s3-media2.fl.yelpcdn.com/photo/Pj1O4LE6eOcviig4IEomfQ/60s.jpg,Salena C.,"Chicago, IL",friends,1151,reviews,390,photos,[object Object],985,https://www.yelp.com/biz_share/-Tp77Ce5OCpP1-KXUYtX9A/review/z2n3TyOj995Bghk-Dd67YQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=z2n3TyOj995Bghk-Dd67YQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3DRobust%2Bcaf%25C3%25A9&user_id=f0SHitrEqc5k0DwWyPlY9w,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=f0SHitrEqc5k0DwWyPlY9w&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3DRobust%2Bcaf%25C3%25A9,Send message,https://www.yelp.com/following_user/add?dst_user_id=f0SHitrEqc5k0DwWyPlY9w&previous_url=https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=Robust+caf%C3%A9,Follow Salena C.,https://www.yelp.com/following_user/remove?dst_user_id=f0SHitrEqc5k0DwWyPlY9w&previous_url=https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=Robust+caf%C3%A9,Stop following Salena C.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,9/28/2017,"Let's spend a second dreaming about that Honey Nut Latte. HOLY DELICIOUS! Who knew coffee, almond milk and honey could be so perfect?! I will say, it is a bit pricey at almost $5.50, but as a VERY occasional treat, 100% worth it! While I was there I also (calorically, not monetarily) splurged on an amazing double chocolate cake donut. I had to remind myself that I was in public and need not inhale it. Their drinks and sweets are so on point at Robust. Pro-tip: Between 6am-8am all food is 50%!The only downfall is not everyone that works there is kind or efficient. They typically have one person working cash register (and serving simple black coffee) and one person making all of the other drinks, so if you snoozed, you're losing, because you might be 10th in line even at 7:30am! .... totally worth it though for that honey nut latte and donut :)",voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=-Tp77Ce5OCpP1-KXUYtX9A&flag_id=z2n3TyOj995Bghk-Dd67YQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3DRobust%2Bcaf%25C3%25A9,Report review,2 check-ins,[object Object],Kendrick W. and 10 others,javascript:;,10,7
https://www.yelp.com/user_details?userid=k-3aficOAh08xIz4nciTKQ,https://s3-media1.fl.yelpcdn.com/photo/aswASl0ZLLEwpaAG6pqDcw/60s.jpg,Cristian S.,"Orlando, FL",friends,187,reviews,50,photos,[object Object],78,https://www.yelp.com/biz_share/-Tp77Ce5OCpP1-KXUYtX9A/review/X2tWsEmnD4GsmhG8AhbIFQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=X2tWsEmnD4GsmhG8AhbIFQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3DRobust%2Bcaf%25C3%25A9&user_id=k-3aficOAh08xIz4nciTKQ,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=k-3aficOAh08xIz4nciTKQ&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3DRobust%2Bcaf%25C3%25A9,Send message,https://www.yelp.com/following_user/add?dst_user_id=k-3aficOAh08xIz4nciTKQ&previous_url=https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=Robust+caf%C3%A9,Follow Cristian S.,https://www.yelp.com/following_user/remove?dst_user_id=k-3aficOAh08xIz4nciTKQ&previous_url=https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=Robust+caf%C3%A9,Stop following Cristian S.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,8/16/2018,Cute little shop in Hyde Park. I ordered a croissant and coffee which I really enjoyed. Inside looks really trendy for anyone that cares about aesthetics. Check this place out if you haven't.,Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=-Tp77Ce5OCpP1-KXUYtX9A&flag_id=X2tWsEmnD4GsmhG8AhbIFQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3DRobust%2Bcaf%25C3%25A9,Report review,Ordered Online with Yelp,[object Object],,,,
https://www.yelp.com/user_details?userid=3byssbDuFwLnfqS57dwfcA,https://s3-media1.fl.yelpcdn.com/photo/FmW1ZJ90DP8Z-jLnNdr_0A/60s.jpg,Michele E.,"Chicago, IL",friends,12,reviews,82,photos,[object Object],167,https://www.yelp.com/biz_share/-Tp77Ce5OCpP1-KXUYtX9A/review/XoCGyYJOy28fKIpbsw7nzw,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=XoCGyYJOy28fKIpbsw7nzw&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3DRobust%2Bcaf%25C3%25A9&user_id=3byssbDuFwLnfqS57dwfcA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=3byssbDuFwLnfqS57dwfcA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3DRobust%2Bcaf%25C3%25A9,Send message,https://www.yelp.com/following_user/add?dst_user_id=3byssbDuFwLnfqS57dwfcA&previous_url=https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=Robust+caf%C3%A9,Follow Michele E.,https://www.yelp.com/following_user/remove?dst_user_id=3byssbDuFwLnfqS57dwfcA&previous_url=https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=Robust+caf%C3%A9,Stop following Michele E.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,4/7/2018,"Stopped in because need a pick me up. Their speciality is the mocha diablo..it is espresso, milk and the in house diablo syrup. I did almond milk instead of regular milk. I will say that the Diablo is the bomb! It's the right hint of spicy and also not too sweet. They also have an assortment of pastries but I didn't try any..if you want a cute little coffee shop I think Robust will provide.",voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=-Tp77Ce5OCpP1-KXUYtX9A&flag_id=XoCGyYJOy28fKIpbsw7nzw&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3DRobust%2Bcaf%25C3%25A9,Report review,11 check-ins,[object Object],Anna K. and 1 other,javascript:;,2,2
https://www.yelp.com/user_details?userid=GiWKO5yXO_yeaFxE1lsn_g,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,John K.,"Chicago, IL",friend,1,reviews,83,,,,https://www.yelp.com/biz_share/-Tp77Ce5OCpP1-KXUYtX9A/review/eIkFGQR17MQGHef-JknSfw,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=eIkFGQR17MQGHef-JknSfw&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3DRobust%2Bcaf%25C3%25A9&user_id=GiWKO5yXO_yeaFxE1lsn_g,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=GiWKO5yXO_yeaFxE1lsn_g&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3DRobust%2Bcaf%25C3%25A9,Send message,https://www.yelp.com/following_user/add?dst_user_id=GiWKO5yXO_yeaFxE1lsn_g&previous_url=https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=Robust+caf%C3%A9,Follow John K.,https://www.yelp.com/following_user/remove?dst_user_id=GiWKO5yXO_yeaFxE1lsn_g&previous_url=https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=Robust+caf%C3%A9,Stop following John K.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,9/16/2018,"This place has gone so far downhill I can hardly believe it. Was once my go-to in the area for a mocha, and occasionally a breakfast croissant or a grilled cheese. Between the worsening staff, the constant array of bugs and occasional mice, and the food now struggling to meet mediocre quality, there's no longer much reason to come here at all. The staff used to be friendly and fun! Their reward card is a joke as well-- I got large drinks every time I came here. Fill up the reward card and you get a small (ridiculously small) drink. I asked if I could pay the difference and get my large-- 70 cents more than the small. The reply SHOULD have been no problem, you're a regular customer, we'll cover that 70 cents. Instead it was ""reward card upgrades cost a dollar."" I pointed out that the price difference was less than that, and the rude girl just repeated herself. If you all don't give a shit about your customers-- let alone the ones that are here 4-5 times a week-- then screw this place.",Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=-Tp77Ce5OCpP1-KXUYtX9A&flag_id=eIkFGQR17MQGHef-JknSfw&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3DRobust%2Bcaf%25C3%25A9,Report review,,,,,,
https://www.yelp.com/user_details?userid=VzMLCrPWvEUpGWRYKYTgQw,https://s3-media1.fl.yelpcdn.com/photo/BcADb7t_oMMGucIAlJgdMQ/60s.jpg,Brian C.,"Chicago, IL",friends,5,reviews,12,,,,https://www.yelp.com/biz_share/-Tp77Ce5OCpP1-KXUYtX9A/review/1G1YqlbixYUKtZGg5JKSGQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=1G1YqlbixYUKtZGg5JKSGQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3DRobust%2Bcaf%25C3%25A9&user_id=VzMLCrPWvEUpGWRYKYTgQw,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=VzMLCrPWvEUpGWRYKYTgQw&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3DRobust%2Bcaf%25C3%25A9,Send message,https://www.yelp.com/following_user/add?dst_user_id=VzMLCrPWvEUpGWRYKYTgQw&previous_url=https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=Robust+caf%C3%A9,Follow Brian C.,https://www.yelp.com/following_user/remove?dst_user_id=VzMLCrPWvEUpGWRYKYTgQw&previous_url=https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=Robust+caf%C3%A9,Stop following Brian C.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,4/11/2018,"I've been going to Robust for 6 years now.  It continually has gotten worse and worse.  The mochas are more foam than liquid now like a cappuccino.  I understand it happening once or twice, but it's been several times now. I'm not paying $5 for foam.  A sandwich, chip, and pop are always over $10 and the wait to get the sandwich is often near 10 minutes. This is acceptable if the food is unique or good, but the food is rather mediocre and not worth the price. Starbucks is about a mile North on Woodlawn, I might have to start travelling there for my caffeine kick.",voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=-Tp77Ce5OCpP1-KXUYtX9A&flag_id=1G1YqlbixYUKtZGg5JKSGQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3DRobust%2Bcaf%25C3%25A9,Report review,,,Brittany A. and 5 others,javascript:;,4,1
https://www.yelp.com/user_details?userid=grtg2KPWpj3NDbVX5DT7wA,https://s3-media1.fl.yelpcdn.com/photo/MnqTSZppBuP4xJwlzQRy1w/60s.jpg,Tee L.,"Chicago, IL",friends,7,reviews,131,photos,[object Object],403,https://www.yelp.com/biz_share/-Tp77Ce5OCpP1-KXUYtX9A/review/jp6z3V3FPkCy5e35CEcNOg,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=jp6z3V3FPkCy5e35CEcNOg&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3DRobust%2Bcaf%25C3%25A9&user_id=grtg2KPWpj3NDbVX5DT7wA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=grtg2KPWpj3NDbVX5DT7wA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3DRobust%2Bcaf%25C3%25A9,Send message,https://www.yelp.com/following_user/add?dst_user_id=grtg2KPWpj3NDbVX5DT7wA&previous_url=https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=Robust+caf%C3%A9,Follow Tee L.,https://www.yelp.com/following_user/remove?dst_user_id=grtg2KPWpj3NDbVX5DT7wA&previous_url=https://www.yelp.com/biz/robust-coffee-lounge-chicago?osq=Robust+caf%C3%A9,Stop following Tee L.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,3/16/2018,"Interesting!!! This is a college district, so I would image things would be cheaper - I guess not. Came here with a friend, just so happens the same sandwich caught both our eyes - the Brisket Grilled Cheese...yum!  Although it was very tasty, I don't think I'd come back. The price of $9.37 for a grilled cheese with a few shredded pieces of beef with no fries/chips or a drink...that's SUPER expensive. My friend's total came to $15.37, she ordered a small coffee which btw is $5.50.  It's another $1.75 to upgrade it wasn't worth it.  Also, I would image this venue is relatively new, the space is nice and it seats a great number of people, but the seats are horrible. They're all taped up and sunken in. I'm not sitting on that, gross!!",voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=-Tp77Ce5OCpP1-KXUYtX9A&flag_id=jp6z3V3FPkCy5e35CEcNOg&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frobust-coffee-lounge-chicago%3Fosq%3DRobust%2Bcaf%25C3%25A9,Report review,,,Mary W. and 1 other,javascript:;,2,1
