js-analytics-click href,photo-box-img src,user-display-name,user-location,friend-count,friend-count 2,review-count,review-count 2,arrange href,icon_svg href 3,action-link_label,arrange href 2,action-link_label 2,arrange href 3,action-link_label 3,arrange href 4,action-link_label 4,arrange href 5,action-link_label 5,arrange href 6,action-link_label 6,offscreen src,rating-qualifier,review-content,voting-intro,vote-type,vote-type 2,vote-type 3,u-space-b3,u-space-b3 src,u-space-b2,ybtn,js-maybe-later-button,chiclet-link href,tooltip,photo-count,icon_svg href 13,photo-count 2,is-elite,is-elite href,photo-box-img src 2,photo-box-overlay_caption,biz-shim href,review-tags_item,icon_svg href 14,js-review-feedback-voter-list,js-review-feedback-voter-list href,count,count 2
https://www.yelp.com/user_details?userid=8q6vJuhgs4e8jf5FkSMybA,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,Jin L.,"Manhattan, New York, NY",friends,0,review,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.yelp.com/user_details?userid=q_2fhwe5CCukfxZn6yMCfQ,https://s3-media2.fl.yelpcdn.com/photo/mB2nQOkdTvKYBds3iFVDnA/60s.jpg,Matt L.,"San Francisco, CA",friends,55,reviews,21,https://www.yelp.com/biz_share/xFh35XIc5-9z88dLFH-Bxw/review/ZO_KFZgz4AOnVh5FWovpMw,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=ZO_KFZgz4AOnVh5FWovpMw&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-and-tea-chicago-2%3Fosq%3DDollop%2BStreeterville&user_id=q_2fhwe5CCukfxZn6yMCfQ,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=q_2fhwe5CCukfxZn6yMCfQ&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-and-tea-chicago-2%3Fosq%3DDollop%2BStreeterville,Send message,https://www.yelp.com/following_user/add?dst_user_id=q_2fhwe5CCukfxZn6yMCfQ&previous_url=https://www.yelp.com/biz/dollop-coffee-and-tea-chicago-2?osq=Dollop+Streeterville,Follow Matt L.,https://www.yelp.com/following_user/remove?dst_user_id=q_2fhwe5CCukfxZn6yMCfQ&previous_url=https://www.yelp.com/biz/dollop-coffee-and-tea-chicago-2?osq=Dollop+Streeterville,Stop following Matt L.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,11/14/2018,"Happy to have found a place that locals frequent. Friendly & efficient service, varied menu with good espresso, tasty treats, and cute decor!Would recommend refining hand-off to make sure there are no used grounds stuck to coffee cups or residual food spreads on to-go containers.Overall great experience.",Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=xFh35XIc5-9z88dLFH-Bxw&flag_id=ZO_KFZgz4AOnVh5FWovpMw&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-and-tea-chicago-2%3Fosq%3DDollop%2BStreeterville,Report review,,,,,,,,,,,,,,
https://www.yelp.com/user_details?userid=sjx2qEYY5UvggRgYhf_Z9Q,https://s3-media2.fl.yelpcdn.com/photo/GvRLGNF87C8Iow-FzA6wAQ/60s.jpg,Tsega T.,"Louisville, KY",friends,10,reviews,88,https://www.yelp.com/biz_share/xFh35XIc5-9z88dLFH-Bxw/review/sqw5ZHaINmpBb4zpvu3bfQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=sqw5ZHaINmpBb4zpvu3bfQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-and-tea-chicago-2%3Fosq%3DDollop%2BStreeterville&user_id=sjx2qEYY5UvggRgYhf_Z9Q,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=sjx2qEYY5UvggRgYhf_Z9Q&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-and-tea-chicago-2%3Fosq%3DDollop%2BStreeterville,Send message,https://www.yelp.com/following_user/add?dst_user_id=sjx2qEYY5UvggRgYhf_Z9Q&previous_url=https://www.yelp.com/biz/dollop-coffee-and-tea-chicago-2?osq=Dollop+Streeterville,Follow Tsega T.,https://www.yelp.com/following_user/remove?dst_user_id=sjx2qEYY5UvggRgYhf_Z9Q&previous_url=https://www.yelp.com/biz/dollop-coffee-and-tea-chicago-2?osq=Dollop+Streeterville,Stop following Tsega T.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,11/10/2018,"What a delightful little coffee shop. The name alone has a warm and comforting feeling. We were staying at the hotel across the street and needed a spot to get some work done on a cold day. Atmosphere: clean, well lit, modern. Very busy on a weekend afternoon (full of laptops and bookworms). Beverages: I did peruse the menu and they have a variety of lattes and hot teas; I was a little disappointed they don't have an apple cider. We both ordered hot cocoa, and it was deliciously rich.Price: average; comparable to Starbucks.",Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=xFh35XIc5-9z88dLFH-Bxw&flag_id=sqw5ZHaINmpBb4zpvu3bfQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-and-tea-chicago-2%3Fosq%3DDollop%2BStreeterville,Report review,photos,[object Object],113,Elite ’18,https://www.yelp.com/elite,https://s3-media3.fl.yelpcdn.com/bphoto/HXqeQgY0M0NZ7Q0y-ebpLw/348s.jpg,Hot cocoa,https://www.yelp.com/biz_photos/dollop-coffee-and-tea-chicago-2?reviewid=sqw5ZHaINmpBb4zpvu3bfQ&select=HXqeQgY0M0NZ7Q0y-ebpLw,,,,,,
https://www.yelp.com/user_details?userid=PA4sKEXpXxWb5NXGZ7JTtg,https://s3-media4.fl.yelpcdn.com/photo/zXSsl6hLFfKHXMzipaGA9g/60s.jpg,Rosy L.,"Chicago, IL",friends,281,reviews,93,https://www.yelp.com/biz_share/xFh35XIc5-9z88dLFH-Bxw/review/eDotOLld-erLn4d9fGJqWQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=eDotOLld-erLn4d9fGJqWQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-and-tea-chicago-2%3Fosq%3DDollop%2BStreeterville&user_id=PA4sKEXpXxWb5NXGZ7JTtg,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=PA4sKEXpXxWb5NXGZ7JTtg&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-and-tea-chicago-2%3Fosq%3DDollop%2BStreeterville,Send message,https://www.yelp.com/following_user/add?dst_user_id=PA4sKEXpXxWb5NXGZ7JTtg&previous_url=https://www.yelp.com/biz/dollop-coffee-and-tea-chicago-2?osq=Dollop+Streeterville,Follow Rosy L.,https://www.yelp.com/following_user/remove?dst_user_id=PA4sKEXpXxWb5NXGZ7JTtg&previous_url=https://www.yelp.com/biz/dollop-coffee-and-tea-chicago-2?osq=Dollop+Streeterville,Stop following Rosy L.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,10/7/2018,"The honey cinnamon latte is my favorite drink here. I recently got the Nutella mocha and was slightly disappointed by that one. It just wasn't as rich as I was hoping it to be. They also have some food options, such as sandwiches, bagels and pastries. It's a great place to just stay all day to do some simple work.I love that there is plentiful seating and many outlets for charging. The seats are a little bit uncomfortable, I have to admit. It is a little loud (with chatter and music), so maybe not the best place to go if you really want to concentrate. But it seems like a great place for group meetings, or if you like some buzz in the background while you work. I love the large windows, the bright and cozy feeling interior. It's also great that they still open until 7 even on weekends.",voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=xFh35XIc5-9z88dLFH-Bxw&flag_id=eDotOLld-erLn4d9fGJqWQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-and-tea-chicago-2%3Fosq%3DDollop%2BStreeterville,Report review,photos,[object Object],240,Elite ’18,https://www.yelp.com/elite,,,,1 check-in,[object Object],Francis R.,javascript:;,1,1
https://www.yelp.com/user_details?userid=0cHEkFahUqJiobK3vo8BbA,https://s3-media4.fl.yelpcdn.com/photo/kQo5cSNRnQ2CLk3i82GZGw/60s.jpg,Andy B.,"Bethesda, MD",friends,267,reviews,413,https://www.yelp.com/biz_share/xFh35XIc5-9z88dLFH-Bxw/review/uy-uEKEHuv9Xk5tof2RvxA,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=uy-uEKEHuv9Xk5tof2RvxA&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-and-tea-chicago-2%3Fosq%3DDollop%2BStreeterville&user_id=0cHEkFahUqJiobK3vo8BbA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=0cHEkFahUqJiobK3vo8BbA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-and-tea-chicago-2%3Fosq%3DDollop%2BStreeterville,Send message,https://www.yelp.com/following_user/add?dst_user_id=0cHEkFahUqJiobK3vo8BbA&previous_url=https://www.yelp.com/biz/dollop-coffee-and-tea-chicago-2?osq=Dollop+Streeterville,Follow Andy B.,https://www.yelp.com/following_user/remove?dst_user_id=0cHEkFahUqJiobK3vo8BbA&previous_url=https://www.yelp.com/biz/dollop-coffee-and-tea-chicago-2?osq=Dollop+Streeterville,Stop following Andy B.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,7/8/2018,"I happened to pass Dollop on my way to Yolk the other morning and it looked cool from the outside, bookmarking it because of the four-star average rating... but, sorry, can't agree with the overall assessment. The drip coffee:  Not anything out of the ordinary and not particularly strong. (The complimentary Illy dark roast being served in my hotel lobby was far better.)My banana nut muffin:  Looked enticing, but had a dense, gummy consistency with a bad mouth-feel.  The service: Aloof. Let me offer one word of advice - if you don't say hello or thank you, you also shouldn't put a payment screen in front of me asking for a tip. The plus is the tall open space, with seating you can hang out in for a while - but, otherwise, seems like Dollop could use an extra dollop of something.",voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=xFh35XIc5-9z88dLFH-Bxw&flag_id=uy-uEKEHuv9Xk5tof2RvxA&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-and-tea-chicago-2%3Fosq%3DDollop%2BStreeterville,Report review,photos,[object Object],2613,Elite ’18,https://www.yelp.com/elite,,,,1 check-in,[object Object],Abbas B. and 8 others,javascript:;,7,3
https://www.yelp.com/user_details?userid=EBveE4oDk6AYWNUEs937mg,https://s3-media2.fl.yelpcdn.com/photo/t85lUgDFHOePxu3z_-fvBA/60s.jpg,Andy R.,"Torrance, CA",friends,114,reviews,324,https://www.yelp.com/biz_share/xFh35XIc5-9z88dLFH-Bxw/review/qX1aT274tcXlyH5am6WrHw,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=qX1aT274tcXlyH5am6WrHw&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-and-tea-chicago-2%3Fosq%3DDollop%2BStreeterville&user_id=EBveE4oDk6AYWNUEs937mg,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=EBveE4oDk6AYWNUEs937mg&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-and-tea-chicago-2%3Fosq%3DDollop%2BStreeterville,Send message,https://www.yelp.com/following_user/add?dst_user_id=EBveE4oDk6AYWNUEs937mg&previous_url=https://www.yelp.com/biz/dollop-coffee-and-tea-chicago-2?osq=Dollop+Streeterville,Follow Andy R.,https://www.yelp.com/following_user/remove?dst_user_id=EBveE4oDk6AYWNUEs937mg&previous_url=https://www.yelp.com/biz/dollop-coffee-and-tea-chicago-2?osq=Dollop+Streeterville,Stop following Andy R.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,9/29/2018,"This Chicago only quasi-small chain has some amazing coffees!  I indulged in an espresso and cold brew this morning and both were outstanding.  The baristas were super friendly and very knowledgeable.   They roast their own beans at another location, and it's noticeable.  Kudos Dollop!",Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=xFh35XIc5-9z88dLFH-Bxw&flag_id=qX1aT274tcXlyH5am6WrHw&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-and-tea-chicago-2%3Fosq%3DDollop%2BStreeterville,Report review,photos,[object Object],56,Elite ’18,https://www.yelp.com/elite,,,,,,,,,
https://www.yelp.com/user_details?userid=ogL-6zZ0Gf1Q-DKu8D19PA,https://s3-media4.fl.yelpcdn.com/photo/vbNJrH2B_hepKNzAXRV5fA/60s.jpg,Kate L.,"Chicago, IL",friends,266,reviews,462,https://www.yelp.com/biz_share/xFh35XIc5-9z88dLFH-Bxw/review/oVBUDD8ALdVAB-mruMPlCw,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=oVBUDD8ALdVAB-mruMPlCw&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-and-tea-chicago-2%3Fosq%3DDollop%2BStreeterville&user_id=ogL-6zZ0Gf1Q-DKu8D19PA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=ogL-6zZ0Gf1Q-DKu8D19PA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-and-tea-chicago-2%3Fosq%3DDollop%2BStreeterville,Send message,https://www.yelp.com/following_user/add?dst_user_id=ogL-6zZ0Gf1Q-DKu8D19PA&previous_url=https://www.yelp.com/biz/dollop-coffee-and-tea-chicago-2?osq=Dollop+Streeterville,Follow Kate L.,https://www.yelp.com/following_user/remove?dst_user_id=ogL-6zZ0Gf1Q-DKu8D19PA&previous_url=https://www.yelp.com/biz/dollop-coffee-and-tea-chicago-2?osq=Dollop+Streeterville,Stop following Kate L.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,9/23/2018,"My new favorite spot to get things done!Dollop's bright and airy interior has made this my new favorite place to get things done on my laptop. There are tables, a couple comfy chairs, and a high top bar along the window. I was a little thrown off by the WiFi asking for a password, but the password is listed on a very small sign by where you pick up your drinks. As for the coffee, it's a little too strong for my tastes. I got the honey cinnamon latte so many other people have raved about, and after one sip I was like WHOA coffee! But if you're a big coffee lover, totally check this place out. Or if you're nearby and looking for a place to work for a few hours, Dollop is a million times better than all the neighborhood's Starbucks.",voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=xFh35XIc5-9z88dLFH-Bxw&flag_id=oVBUDD8ALdVAB-mruMPlCw&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-and-tea-chicago-2%3Fosq%3DDollop%2BStreeterville,Report review,photos,[object Object],92,Elite ’18,https://www.yelp.com/elite,,,,,,Claudine V.,javascript:;,,1
https://www.yelp.com/user_details?userid=-6gYApoyPvez737nxfnGqw,https://s3-media2.fl.yelpcdn.com/photo/_fmklG2UAMWsmh-F_XPFaw/60s.jpg,Minaz C.,"Chicago, IL",friends,149,reviews,219,https://www.yelp.com/biz_share/xFh35XIc5-9z88dLFH-Bxw/review/l1n0VqIs44TZ1m3r7igedg,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=l1n0VqIs44TZ1m3r7igedg&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-and-tea-chicago-2%3Fosq%3DDollop%2BStreeterville&user_id=-6gYApoyPvez737nxfnGqw,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=-6gYApoyPvez737nxfnGqw&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-and-tea-chicago-2%3Fosq%3DDollop%2BStreeterville,Send message,https://www.yelp.com/following_user/add?dst_user_id=-6gYApoyPvez737nxfnGqw&previous_url=https://www.yelp.com/biz/dollop-coffee-and-tea-chicago-2?osq=Dollop+Streeterville,Follow Minaz C.,https://www.yelp.com/following_user/remove?dst_user_id=-6gYApoyPvez737nxfnGqw&previous_url=https://www.yelp.com/biz/dollop-coffee-and-tea-chicago-2?osq=Dollop+Streeterville,Stop following Minaz C.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,9/25/2018,This is my go to spot for quick work meeting. I always get the honey cinnamon latte with a little less honey otherwise its too sweet for my liking. It's the perfect afternoon pick me up. It's a little pricey but it's comparable to other places in the area.,Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=xFh35XIc5-9z88dLFH-Bxw&flag_id=l1n0VqIs44TZ1m3r7igedg&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-and-tea-chicago-2%3Fosq%3DDollop%2BStreeterville,Report review,photos,[object Object],124,Elite ’18,https://www.yelp.com/elite,https://s3-media2.fl.yelpcdn.com/bphoto/SNfRb_vfdWCc461AMt14uA/348s.jpg,Honey Cinnamon Latte,https://www.yelp.com/biz_photos/dollop-coffee-and-tea-chicago-2?reviewid=l1n0VqIs44TZ1m3r7igedg&select=SNfRb_vfdWCc461AMt14uA,,,,,,
https://www.yelp.com/user_details?userid=wbyWOk0R_YUkbWPkkp2tGQ,https://s3-media4.fl.yelpcdn.com/photo/T-ZlQ1X9l03MN9rgDZM6zQ/60s.jpg,Uri P.,"Arlington, VA",friends,397,reviews,47,https://www.yelp.com/biz_share/xFh35XIc5-9z88dLFH-Bxw/review/vHJP-d8raCfIBL2ma1dUdA,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=vHJP-d8raCfIBL2ma1dUdA&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-and-tea-chicago-2%3Fosq%3DDollop%2BStreeterville&user_id=wbyWOk0R_YUkbWPkkp2tGQ,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=wbyWOk0R_YUkbWPkkp2tGQ&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-and-tea-chicago-2%3Fosq%3DDollop%2BStreeterville,Send message,https://www.yelp.com/following_user/add?dst_user_id=wbyWOk0R_YUkbWPkkp2tGQ&previous_url=https://www.yelp.com/biz/dollop-coffee-and-tea-chicago-2?osq=Dollop+Streeterville,Follow Uri P.,https://www.yelp.com/following_user/remove?dst_user_id=wbyWOk0R_YUkbWPkkp2tGQ&previous_url=https://www.yelp.com/biz/dollop-coffee-and-tea-chicago-2?osq=Dollop+Streeterville,Stop following Uri P.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,8/23/2018,"This cafe came CLUTCH. I flew into Chicago on a workday at 7 in the morning. Was stuck in a Lyft for 1 hour on back to back conference calls. After dropping my luggage off at our hotel, my fiance and I walked a couple of blocks down and came across this place.We were tired, hungry, and desperately needed a place to plug in for work. This place met all the criteria. The vibe was a bit slow, which I needed. The coffee amazing. Service was awesome - the baristas were cool and dressed so cute! And the food was amazing (every sandwich comes with a pickle and a really yummy potato salad).Lastly, the internet connection was seamless. Im happy my fiance recommended this place. Super happy we came here.",voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=xFh35XIc5-9z88dLFH-Bxw&flag_id=vHJP-d8raCfIBL2ma1dUdA&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-and-tea-chicago-2%3Fosq%3DDollop%2BStreeterville,Report review,photos,[object Object],82,Elite ’18,https://www.yelp.com/elite,,,,,,M O. and 3 others,javascript:;,4,1
https://www.yelp.com/user_details?userid=Ha1Zh3IDs63P1hNziDZfeg,https://s3-media3.fl.yelpcdn.com/photo/y8jR6sTr6xlos6ufk-Ly0w/60s.jpg,Jay E.,"Chicago, IL",friends,465,reviews,50,https://www.yelp.com/biz_share/xFh35XIc5-9z88dLFH-Bxw/review/NutyFmbys01TMrDdrlKhEw,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=NutyFmbys01TMrDdrlKhEw&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-and-tea-chicago-2%3Fosq%3DDollop%2BStreeterville&user_id=Ha1Zh3IDs63P1hNziDZfeg,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=Ha1Zh3IDs63P1hNziDZfeg&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-and-tea-chicago-2%3Fosq%3DDollop%2BStreeterville,Send message,https://www.yelp.com/following_user/add?dst_user_id=Ha1Zh3IDs63P1hNziDZfeg&previous_url=https://www.yelp.com/biz/dollop-coffee-and-tea-chicago-2?osq=Dollop+Streeterville,Follow Jay E.,https://www.yelp.com/following_user/remove?dst_user_id=Ha1Zh3IDs63P1hNziDZfeg&previous_url=https://www.yelp.com/biz/dollop-coffee-and-tea-chicago-2?osq=Dollop+Streeterville,Stop following Jay E.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,8/17/2018,"Love this place! So much natural light, big and spacious, interesting artwork, and amazing coffee/tea and pastry/sandwich selection. Glad to have discovered this coffee shop in my neighborhood. They have free WiFi and plenty of study space so plan on spending a few hours here :)",voted for this review,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=xFh35XIc5-9z88dLFH-Bxw&flag_id=NutyFmbys01TMrDdrlKhEw&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-and-tea-chicago-2%3Fosq%3DDollop%2BStreeterville,Report review,photos,[object Object],26,Elite ’18,https://www.yelp.com/elite,https://s3-media1.fl.yelpcdn.com/bphoto/M-P-6E3WvcsDQIFXgErI4g/168s.jpg,,https://www.yelp.com/biz_photos/dollop-coffee-and-tea-chicago-2?reviewid=NutyFmbys01TMrDdrlKhEw&select=M-P-6E3WvcsDQIFXgErI4g,1 check-in,[object Object],Felix B. and 6 others,javascript:;,3,4
https://www.yelp.com/user_details?userid=Dpd25Txzbedx9R6LFOnlow,https://s3-media3.fl.yelpcdn.com/photo/5Q2FvWhby5fTiz639BAsjg/60s.jpg,Celena R.,"San Francisco, CA",friends,0,review,1,https://www.yelp.com/biz_share/xFh35XIc5-9z88dLFH-Bxw/review/YI5wMf1VGbYeX4BtK4RMxw,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=YI5wMf1VGbYeX4BtK4RMxw&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-and-tea-chicago-2%3Fosq%3DDollop%2BStreeterville&user_id=Dpd25Txzbedx9R6LFOnlow,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=Dpd25Txzbedx9R6LFOnlow&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-and-tea-chicago-2%3Fosq%3DDollop%2BStreeterville,Send message,https://www.yelp.com/following_user/add?dst_user_id=Dpd25Txzbedx9R6LFOnlow&previous_url=https://www.yelp.com/biz/dollop-coffee-and-tea-chicago-2?osq=Dollop+Streeterville,Follow Celena R.,https://www.yelp.com/following_user/remove?dst_user_id=Dpd25Txzbedx9R6LFOnlow&previous_url=https://www.yelp.com/biz/dollop-coffee-and-tea-chicago-2?osq=Dollop+Streeterville,Stop following Celena R.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,11/11/2018,"I go to Dollop all the time just to see these two lovely girls that work there. One is blonde, always smiling and has the freaking best tattoo sleeves. I could talk to her for hours. The other is super stylish and rocks a flannel every time I see her and she's super sweet. They are so nice to me and make the BEST honey cinnamon latte that I honestly recommend this place for the amazing coffee and the spectacular employees. You'll love them just as much as the coffee!",Was this review …?,Useful,Funny,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=xFh35XIc5-9z88dLFH-Bxw&flag_id=YI5wMf1VGbYeX4BtK4RMxw&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdollop-coffee-and-tea-chicago-2%3Fosq%3DDollop%2BStreeterville,Report review,,,,,,,,,,,,,,
